resort_name,image_url,image_type,image_credit,image_source_url,source_notes
Kirkwood,https://scene7.vailresorts.com/is/image/vailresorts/20190312_KW_tidwell_029%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/west.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Kitzbühel,https://www.kitzski.at/media/logos-footer/sommerbergbahnen.svg,logo,Official source: kitzski.at,https://www.kitzski.at/en/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Kitzsteinhorn,https://www.saalbach.com/fotos-marketing/logos/Saalbach%20TVB%20-%20MIT%20-%20RGB.svg,logo,Official source: saalbach.com,https://www.saalbach.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Kronplatz/Plan de Corones,https://www.dolomitisuperski.com/.resources/dss/webresources/dss/img/dolomiti-superski-logo.svg,logo,Official source: Dolomiti Superski,https://www.dolomitisuperski.com/en/areas/kronplatz,Official Dolomiti Superski logo from the official Dolomiti Superski site; used for this member-region row because the source site markets the area within the shared Dolomiti Superski destination. No image file was downloaded.
Kumanoyu Ski Area,https://www.shigakogen-ski.or.jp/assets/images/footer-logo.svg,logo,Official source: shigakogen-ski.or.jp,https://www.shigakogen-ski.or.jp/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
La Thuile - Espace San Bernardo,https://www.skilife.ski/wp-content/themes/wequidTheme-child/images/logo.svg,logo,Official source: skilife.ski,https://www.skilife.ski/en/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Lake Louise Ski Resort,https://www.skilouise.com/wp-content/uploads/2019/07/logo.png,logo,Official source: skilouise.com,https://www.skilouise.com/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Laurel Mountain,https://scene7.vailresorts.com/is/image/vailresorts/20201227_LM_Lewis_011%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/mid-atlantic.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Le Massif de Charlevoix,https://www.lemassif.com/sites/default/files/styles/scale_800/public/2022-02/20220108-Massif-ClearDay-8janv22-44.jpg?itok=ECPbjWjz,mountain_photo,Official source: Le Massif de Charlevoix,https://www.lemassif.com/en,Updated after review found the prior official image emphasized lodging rather than the ski mountain; official Le Massif page references this clearer winter ski-mountain image. No image file was downloaded.
Lech Zürs am Arlberg,https://www.skiarlberg.at/static/img/logo-portal.svg,logo,Official source: skiarlberg.at,https://www.skiarlberg.at/en,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Les Menuires,https://www.les3vallees.com/build/front/img/logo-les-3-vallees-white.svg,logo,Official source: les3vallees.com,https://www.les3vallees.com/fr,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Liberty Mountain Resort,https://scene7.vailresorts.com/is/image/vailresorts/20190226_LB_Lewis_604%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/mid-atlantic.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Loon Mountain,https://cdn.sanity.io/images/k8yfdmw9/loon/c7794bff1df543d34138240f9eb1d90570bfc4c4-514x514.svg?w=500&fit=min,logo,Official source: loonmtn.com,https://www.loonmtn.com/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Lutsen Mountains,https://www.lutsen.com/themes/custom/lutsen/logo.svg,logo,Official source: lutsen.com,https://www.lutsen.com/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Mad River Mountain,https://scene7.vailresorts.com/is/image/vailresorts/20190106_ma_collins_068%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/midwest.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Madonna di Campiglio,https://www.skirama.it/files/getbyname/logo.png?WebbinsCacheVersion=2,logo,Official source: skirama.it,https://www.skirama.it/it,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Mammoth Mountain,https://www.mammothmountain.com/_next/image?url=%2F-%2Fmedia%2Fproject%2Fmammoth%2Fmammoth-mountain-primary-logo-whitefill.svg%3Fh%3D58%26iar%3D0%26w%3D85%26rev%3D64725d20529a4595818c61cbd2323b12%26hash%3D79EF4FD399B7BACEE2A72E56CC031F61&w=3840&q=75,logo,Official source: mammothmountain.com,https://www.mammothmountain.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Maruike Ski Area,https://www.shigakogen-ski.or.jp/assets/images/footer-logo.svg,logo,Official source: shigakogen-ski.or.jp,https://www.shigakogen-ski.or.jp/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Mayrhofen,https://www.zillertal.at/fileadmin/_processed_/0/b/csm_zillertal_logo_8b87d86818.png,logo,Official source: zillertal.at,https://www.zillertal.at/en/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Megève Ski Area,https://forfait.megeve.com/hiver/wp-content/uploads/sites/7/2020/03/home.png,logo,Official source: forfait.megeve.com,https://forfait.megeve.com/hiver/en/ikon-pass/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Mona Yongpyong,https://cdn.imweb.me/upload/S2023121574c24daa7523c/eef94789312c5.png,logo,Official source: monayongpyong.com,https://monayongpyong.com/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Mont-Sainte-Anne,https://mont-sainte-anne.com/wp-content/uploads/2019/03/msa_logo_white_cmyk.png,logo,Official source: mont-sainte-anne.com,https://mont-sainte-anne.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Monte Bondone,https://www.skirama.it/files/getbyname/logo.png?WebbinsCacheVersion=2,logo,Official source: skirama.it,https://www.skirama.it/it,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Monterosa Ski,https://www.skilife.ski/wp-content/themes/wequidTheme-child/images/logo.svg,logo,Official source: skilife.ski,https://www.skilife.ski/en/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Mount Snow,https://scene7.vailresorts.com/is/image/vailresorts/20220211_SO_FisherCreative_918%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/northeast.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Mount Sunapee,https://scene7.vailresorts.com/is/image/vailresorts/20220219_MS_Loosman_002%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/northeast.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Mt Brighton,https://scene7.vailresorts.com/is/image/vailresorts/20140112_MB_Affleck_014%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/midwest.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Mt Buller,https://www.mtbuller.com.au/hs-fs/hubfs/raw_assets/public/website-theme/images/ui/footer/MtStirling_Logo.png?width=143&height=35&name=MtStirling_Logo.png,logo,Official source: mtbuller.com.au,https://www.mtbuller.com.au/winter,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Mt Hutt,"https://www.mthutt.co.nz/cdn-cgi/image/format=avif,quality=85/https://cdn.prod.website-files.com/695d64b4a2835538730849b9/699e3d884567749915e19574_mh-buffs-skier-mh-season-pass-product-p-800.jpg",mountain_photo,Official source: mthutt.co.nz,https://www.mthutt.co.nz/,Official Mt Hutt homepage product-card mountain image; used because no stable logo asset was identified. No image file was downloaded.
Mt. Bachelor,https://www.mtbachelor.com/favicon-32x32.png?v=c9b438db36d2ed08dd0aca23e6f36de1,logo,Official source: mtbachelor.com,https://www.mtbachelor.com/,Chosen from the official resort/operator page in data/resorts.csv (link rel=icon); no image file was downloaded.
Mt. Norquay,https://banffnorquay.com/wp-content/uploads/2020/11/Norquay-Logo.svg,logo,Official source: banffnorquay.com,https://banffnorquay.com/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Mt.T,https://tanigawadake-joch.com/cms/wp-content/themes/joch/common/images/t_logo_en.svg,logo,Official source: tanigawadake-joch.com,https://tanigawadake-joch.com/en/mt-t/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Myoko Suginohara Ski Resort,https://www.princehotels.co.jp/ski/myoko/images/header_logo.png,logo,Official source: princehotels.co.jp,https://www.princehotels.co.jp/ski/myoko/informations/ikonpass/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Méribel,https://www.les3vallees.com/media/download/logo-meribel-310px-large.png,logo,Official source: les3vallees.com,https://www.les3vallees.com/fr,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Nakiska Ski Area,https://skinakiska.com/wp-content/themes/kallyas-child/img/logo-nakiska-41x24.png,logo,Official source: skinakiska.com,https://skinakiska.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Nekoma Mountain,https://en.nekoma.co.jp/wp-content/themes/bandaisan/assets/images/englp/logo_en_vertical_white.svg,logo,Official source: en.nekoma.co.jp,https://en.nekoma.co.jp/englp/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Nendaz,https://verbier4vallees.ch/_dev/styllab-test/logo/verbier-4-vallees.svg,logo,Official source: verbier4vallees.ch,https://verbier4vallees.ch/en,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Niseko Village,https://www.niseko.ne.jp/en/wp-content/themes/niseko2019_p2/images/logo.png,logo,Official source: niseko.ne.jp,https://www.niseko.ne.jp/en/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Nishidateyama Ski Area,https://www.shigakogen-ski.or.jp/assets/images/footer-logo.svg,logo,Official source: shigakogen-ski.or.jp,https://www.shigakogen-ski.or.jp/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Northstar California,https://www.vailresorts.com/wp-content/uploads/2023/09/20180312_NS_Garden_002-1024x576.jpeg,mountain_photo,Official source: Vail Resorts,https://www.vailresorts.com/mountain-resorts/,"Official Vail Resorts mountain-resorts image for Northstar, described by the source as an aerial photo of people skiing East Ridge; replaces a dining/lifestyle card image. No image file was downloaded."
Okemo,https://scene7.vailresorts.com/is/image/vailresorts/20230227_OK_Keating_011%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/northeast.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Okushiga Kogen Ski Area,https://www.shigakogen-ski.or.jp/assets/images/footer-logo.svg,logo,Official source: shigakogen-ski.or.jp,https://www.shigakogen-ski.or.jp/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Orelle,https://www.les3vallees.com/media/download/logo-orelle-310px-large.png,logo,Official source: les3vallees.com,https://www.les3vallees.com/fr,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Paganella,https://www.skirama.it/files/getbyname/logo.png?WebbinsCacheVersion=2,logo,Official source: skirama.it,https://www.skirama.it/it,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Palisades Tahoe,https://www.palisadestahoe.com/-/media/palisades-tahoe/footer/logos/pt-desktop.svg?h=56&iar=0&w=498&rev=e1c6790256cb4db4a1dc4e79790c3482&hash=4153D76A736CD0DB388050366E894DD7,logo,Official source: palisadestahoe.com,https://www.palisadestahoe.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Panorama,https://www.panoramaresort.com/resources/themes/panoramaresort/images/logo-panorama.svg?m=1750283539,logo,Official source: panoramaresort.com,https://www.panoramaresort.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Paoli Peaks,https://scene7.vailresorts.com/is/image/vailresorts/20220129_PK_Lees_079%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/midwest.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Park City Mountain,https://scene7.vailresorts.com/is/image/vailresorts/20230208_PC_Wright_075%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/rockies.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Pejo,https://www.skirama.it/files/getbyname/logo.png?WebbinsCacheVersion=2,logo,Official source: skirama.it,https://www.skirama.it/it,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Perisher,https://www.perisher.com.au/templates/perisher_v2/resources/images/booking-widget/EAP-logo_Label_BookingWidget_148x15px.svg,logo,Official source: perisher.com.au,https://www.perisher.com.au/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Pico Mountain,https://www.picomountain.com/favicon-32x32.png?v=c7258b44725e19ef188bdbcba28c8eeb,logo,Official source: picomountain.com,https://www.picomountain.com/,Chosen from the official resort/operator page in data/resorts.csv (link rel=icon); no image file was downloaded.
Pila,https://www.skilife.ski/wp-content/themes/wequidTheme-child/images/logo.svg,logo,Official source: skilife.ski,https://www.skilife.ski/en/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Pinzolo,https://www.skirama.it/files/getbyname/logo.png?WebbinsCacheVersion=2,logo,Official source: skirama.it,https://www.skirama.it/it,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Ponte di Legno-Tonale,https://www.skirama.it/files/getbyname/logo.png?WebbinsCacheVersion=2,logo,Official source: skirama.it,https://www.skirama.it/it,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
RED Mountain,https://rr-assets.b-cdn.net/wp-content/uploads/2020/09/RED-Mountain-Resort-Logo_300px.png,logo,Official source: redresort.com,https://www.redresort.com/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Revelstoke Mountain Resort,https://www.revelstokemountainresort.com/site/themes/vwtheme/dist/img/mammut-logo.png,logo,Official source: revelstokemountainresort.com,https://www.revelstokemountainresort.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Rio Pusteria – Bressanone,https://www.dolomitisuperski.com/.resources/dss/webresources/dss/img/dolomiti-superski-logo.svg,logo,Official source: Dolomiti Superski,https://www.dolomitisuperski.com/en/areas/gitschberg-jochtal-brixen,Official Dolomiti Superski logo from the official Dolomiti Superski site; used for this member-region row because the source site markets the area within the shared Dolomiti Superski destination. No image file was downloaded.
Roundtop Mountain Resort,https://scene7.vailresorts.com/is/image/vailresorts/20200813_RO_RoundtopPhotography_0259%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/mid-atlantic.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Rusutsu Resort,https://rusutsu.com/assets/img/common/logo-wh@2x.png,logo,Official source: rusutsu.com,https://rusutsu.com/en/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Saint-Martin-de-Belleville,https://www.les3vallees.com/media/download/logo-saint-martin-310px-large.png,logo,Official source: les3vallees.com,https://www.les3vallees.com/fr,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
San Martino di Castrozza/Rolle Pass,https://www.dolomitisuperski.com/.resources/dss/webresources/dss/img/dolomiti-superski-logo.svg,logo,Official source: Dolomiti Superski,https://www.dolomitisuperski.com/en/areas/san-martino-di-castrozza-passo-rolle,Official Dolomiti Superski logo from the official Dolomiti Superski site; used for this member-region row because the source site markets the area within the shared Dolomiti Superski destination. No image file was downloaded.
Schweitzer,https://www.schweitzer.com/-/media/schweitzer/logos/schweitzer_logo_horz_greenglow.png?h=826&iar=0&w=2098&rev=7b3414b2e251463cac6c160040511843&hash=4DE59F582285E934EFC57358FA06EB96,logo,Official source: schweitzer.com,https://www.schweitzer.com/discover-schweitzer/first-timers-guides/winter,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Seven Springs,https://scene7.vailresorts.com/is/image/vailresorts/20221004_SS_Lewis_1%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/mid-atlantic.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Shibutoge Ski Area,https://www.shigakogen-ski.or.jp/assets/images/footer-logo.svg,logo,Official source: shigakogen-ski.or.jp,https://www.shigakogen-ski.or.jp/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Sierra-at-Tahoe,,unavailable,,,Image verification found the prior official logo URL now resets direct HTTP requests; left unavailable so the app uses its local fallback tile until a stable official image URL is identified.
SilverStar Mountain,https://cms.skisilverstar.com/sites/default/files/2026-04/Summer%20Giveaway%20logo.svg,logo,Official source: skisilverstar.com,https://www.skisilverstar.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Silvretta Montafon,https://www.silvretta-montafon.at/simo/winter/sonnenaufgangsfahrten/hochjoch-totale/356/image-thumb__356__wysiwyg-with-media-3x2/hochjochtotale5.8636f123.jpg,mountain_photo,Official source: Silvretta Montafon,https://www.silvretta-montafon.at/en/activities/skiing-snowboarding/ski-area,Official Silvretta Montafon ski-area page image for the Hochjoch Totale winter route; replaces a summer hiking image with a more descriptive winter mountain scene. No image file was downloaded.
Skicircus Saalbach Hinterglemm Leogang Fieberbrunn,https://www.saalbach.com/fotos-marketing/logos/Saalbach%20TVB%20-%20MIT%20-%20RGB.svg,logo,Official source: saalbach.com,https://www.saalbach.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Snow Creek,https://scene7.vailresorts.com/is/image/vailresorts/20190119_SC_SnowCreekPhotography_004%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/midwest.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Snow Summit,https://www.bigbearmountainresort.com/-/media/big-bear-mountain-resort-media/brand-assets/logos/2023-bbmr_combo_white-2400x1350.png,logo,Official source: bigbearmountainresort.com,https://www.bigbearmountainresort.com/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Snow Valley,https://www.bigbearmountainresort.com/-/media/big-bear-mountain-resort-media/brand-assets/logos/2023-bbmr_combo_white-2400x1350.png,logo,Official source: bigbearmountainresort.com,https://www.bigbearmountainresort.com/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Snowbasin,https://www.snowbasin.com/azure/snowbasin/media/siteassets/images/scenic/winter/sb_winter_scenic.jpg?ext=.jpg&w=1500&h=1500&mode=crop&scale=both&quality=65,mountain_photo,Official source: Snowbasin,https://www.snowbasin.com/,"Updated after review found the prior image was a Scott partner logo, not a Snowbasin resort logo; official Snowbasin homepage references this working winter scenic image. No image file was downloaded."
Snowbird,https://www.snowbird.com/favicon-32x32.png?v=8ae537c1c5dc6c110502c6c267a910e2,logo,Official source: snowbird.com,https://www.snowbird.com/,Chosen from the official resort/operator page in data/resorts.csv (link rel=icon); no image file was downloaded.
Snowmass,https://www.aspensnowmass.com/-/media/aspen-snowmass/images/featured-content-row/winter/2025-26/smwideelkcamp2526jpg.png?hash=562BCB8915FC88847ACFBD1F5B366617&mh=650&mw=1600,mountain_photo,Official source: Aspen Snowmass,https://www.aspensnowmass.com/four-mountains/snowmass,Official Aspen Snowmass Snowmass page image from the Elk Camp Views section; replaces a family-campaign/group shot with a more descriptive mountain view. No image file was downloaded.
Snowriver Mountain Resort,https://www.snowriver.com/themes/custom/snowriver/logo.svg,logo,Official source: snowriver.com,https://www.snowriver.com/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Snowshoe Mountain,https://www.snowshoemtn.com/-/media/alterra-mountain-logos/new-footer-logos-2018/snowshoe.png?hash=294B29AE8FE8F27DB1814F39D0FE4601&rev=0a50d1ec86d743379cfae9c15b2ecb38%3Fh%3D50&w=54,logo,Official source: Snowshoe Mountain Resort,https://www.snowshoemtn.com/media-room/image-zone,Official Snowshoe Mountain site footer/media-room page includes this Snowshoe logo asset; no image file was downloaded.
Solitude Mountain Resort,https://www.solitudemountain.com/-/media/solitude/logos/solitude-desktop-secondary.svg?h=56&iar=0&w=135&rev=b2b2b40d691b44c6983eca4e15a61946&hash=FF2418D1DD8B95C67EBFE166942D8E98,logo,Official source: solitudemountain.com,https://www.solitudemountain.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Spieljoch,https://www.zillertal.at/fileadmin/_processed_/0/b/csm_zillertal_logo_8b87d86818.png,logo,Official source: zillertal.at,https://www.zillertal.at/en/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
St. Anton am Arlberg,https://www.skiarlberg.at/static/img/logo-portal.svg,logo,Official source: skiarlberg.at,https://www.skiarlberg.at/en,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
St. Moritz,https://api.stmoritz.com/fileadmin/_processed_/c/d/csm_My_twisted_mind_write_Polar_Sugar_story_so_far_behind_by_-chillinmaster_2165048e9f.jpg,mountain_photo,Official source: St. Moritz,https://www.stmoritz.com/en/directory/mountains/corviglia,Official St. Moritz Corviglia/Piz Nair page image; replaces unavailable placeholder fallback with a verified snowy mountain terrain photo. No image file was downloaded.
Steamboat,https://www.steamboat.com/-/media/steamboat/media-center-folders/steamboat-downtown.jpg?hash=4837696AFE738A0D0FB7CF15B8424CEB&rev=13500efc380b4152a6cdfb864dd3172b&w=480,mountain_photo,Official source: Steamboat Ski & Resort Corporation,https://www.steamboat.com/media-center,Official Steamboat media center provides this resort/destination image and states media images are Steamboat Ski & Resort Corporation property for editorial use with credit. No image file was downloaded.
Stevens Pass,https://scene7.vailresorts.com/is/image/vailresorts/20200308_SV_Coble_007%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/west.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Stoneham Mountain Resort,https://ski-stoneham.com/wp-content/uploads/2022/08/logo_sto_montagne_seul.png,logo,Official source: ski-stoneham.com,https://ski-stoneham.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Stowe,https://scene7.vailresorts.com/is/image/vailresorts/20220209_ST_FisherUnlimited_769%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/northeast.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Stratton,https://www.stratton.com/-/media/stratton/logos/primary-logo-new-header.svg?h=56&hash=DFD44CAAE5CF1ABB9C3BB18F5F48C37A&iar=0&rev=ad32f3ad9a7b42268878f2ddb1e86bf8&w=98,logo,Official source: Stratton Mountain Resort,https://www.stratton.com/,Official Stratton homepage header includes this Stratton logo asset. No image file was downloaded.
Sugarbush Resort,https://www.sugarbush.com/-/media/sugarbush/sugarbush-logos/header-footer/header-v3-logos/sb-desktop.svg?h=56&iar=0&w=185&rev=099721ed37944fe78630efaddc766308&hash=49D44BDC5674F38C9CD1D605D2C974C8,logo,Official source: sugarbush.com,https://www.sugarbush.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Sugarloaf,https://cdn.sanity.io/images/k8yfdmw9/sugarloaf/6a65e2e04ba012f85588b258302bd69a0f089d00-102x100.svg?w=500&fit=min,logo,Official source: sugarloaf.com,https://www.sugarloaf.com/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Summit Central / Summit West / Summit East,https://cdn.sanity.io/images/8ts88bij/summit/4b8d9380734ba35657c986d9a17f55f725c3ebe2-229x60.svg?w=500&fit=min,logo,Official source: summitatsnoqualmie.com,https://www.summitatsnoqualmie.com/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Sun Peaks Resort,https://www.sunpeaksresort.com/themes/custom/sunpeaksresort/images/logo_schema.svg,logo,Official source: sunpeaksresort.com,https://www.sunpeaksresort.com/ski-ride/tickets-passes/ikon-pass,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Sun Valley,https://www.sunvalley.com/images/favicons/apple-touch-icon.png,logo,Official source: sunvalley.com,https://www.sunvalley.com/tickets-passes/ikon-pass/,Chosen from the official resort/operator page in data/resorts.csv (link rel=apple-touch-icon); no image file was downloaded.
Sun Valley Ski Area,https://www.shigakogen-ski.or.jp/assets/images/footer-logo.svg,logo,Official source: shigakogen-ski.or.jp,https://www.shigakogen-ski.or.jp/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Sunday River,https://cdn.sanity.io/images/k8yfdmw9/sunday-river/a4634739205e137c6fc0f1fa0a51b40f3dd0e304-172x80.svg?w=500&fit=min,logo,Official source: sundayriver.com,https://www.sundayriver.com/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Sölden,https://www.soelden.com/bundles/nui/static/soelden/assets/app-icon-BxdDLvyl.svg,logo,Official source: soelden.com,https://www.soelden.com/de,Chosen from the official resort/operator page in data/resorts.csv (link rel=icon); no image file was downloaded.
